step1,len1,step2,len2,step3,len3,metal,due
A077,2798,B077,2569,C069,2957,0,388800
A078,2798,B078,2569,C070,2957,0,388800
A079,2798,B079,2569,C072,2893,1,388800
A080,2798,B080,2569,C073,2893,1,388800
A081,2798,B081,2569,C074,2893,1,388800
A082,2798,B082,2569,C075,2893,1,388800
A083,2798,B083,2569,C076,2957,0,388800
A084,2798,B084,2569,C077,2957,0,388800
A085,2798,B085,2569,C320,2957,0,388800
A086,2798,B086,2569,C078,2957,0,388800
A087,2798,B088,2569,C079,2957,0,388800
A088,2798,B087,2569,C065,2893,1,993600
A089,2798,B089,2569,C298,2957,0,388800
A090,2798,B090,2569,C365,2957,0,388800
A091,2798,B091,2569,C080,2893,1,388800
A092,2798,B092,2569,C081,2893,1,388800
A093,2798,B093,2569,C130,2893,1,388800
A094,2798,B094,2569,C082,2893,1,388800
A095,2746,B096,2521,C083,2839,2,388800
A096,2798,B095,2569,C071,2957,0,993600
A097,2746,B097,2521,C084,2839,2,388800
A098,2746,B098,2521,C085,2839,2,388800
A099,2746,B099,2521,C086,2839,2,388800
A100,2746,B100,2521,C287,2839,2,388800
A101,2746,B101,2521,C088,2839,2,388800
A102,2798,B102,2569,C089,2893,1,388800
A103,2798,B103,2569,C090,2893,1,388800
A104,2798,B104,2569,C091,2893,1,388800
A105,2798,B105,2569,C176,2893,1,388800
A106,2746,B106,2521,C092,2839,2,388800
A107,2746,B107,2521,C093,2839,2,388800
A108,2746,B108,2521,C094,2839,2,388800
A109,2746,B109,2521,C095,2839,2,388800
A110,2746,B110,2521,C097,2839,2,388800
A111,2746,B112,2521,C258,2839,2,388800
A112,2798,B111,2569,C111,2893,1,993600
A113,2798,B113,2569,C101,2957,0,388800
A114,2798,B114,2569,C102,2957,0,388800
A115,2798,B115,2569,C103,2957,0,388800
A116,2798,B116,2569,C104,2957,0,388800
A117,2798,B117,2569,C105,2957,0,388800
A118,2798,B118,2569,C106,2957,0,388800
A119,2798,B120,2569,C107,2957,0,388800
A120,2798,B119,2569,C098,2893,1,388800
A121,2798,B121,2569,C109,2957,0,388800
A122,2746,B122,2521,C110,2839,2,388800
A123,2746,B123,2521,C259,2839,2,388800
A124,2746,B124,2521,C112,2839,2,388800
A125,2746,B125,2521,C221,2839,2,388800
A126,2746,B126,2521,C113,2839,2,388800
A127,2746,B127,2521,C114,2839,2,388800
A128,2798,B128,2569,C115,2957,0,388800
A129,2798,B129,2569,C116,2957,0,388800
A130,2798,B130,2569,C261,2957,0,388800
A131,2798,B131,2569,C322,2957,0,388800
A132,2798,B133,2569,C117,2957,0,388800
A133,2798,B134,2569,C118,2957,0,388800
A134,2798,B136,2569,C119,2957,0,388800
A135,2798,B132,2569,C100,2893,1,388800
A136,2798,B137,2569,C120,2957,0,388800
A137,2798,B135,2569,C108,2893,1,993600
A138,2798,B138,2569,C121,2893,1,388800
A139,2798,B139,2569,C122,2893,1,388800
A140,2798,B140,2569,C312,2893,1,388800
A141,2798,B141,2569,C123,2893,1,388800
A142,2798,B142,2569,C124,2957,0,388800
A143,2798,B143,2569,C125,2957,0,388800
A144,2798,B144,2569,C126,2957,0,388800
A145,2798,B145,2569,C127,2957,0,388800
A146,2798,B146,2569,C128,2957,0,388800
A147,2798,B147,2569,C129,2957,0,388800
A148,2798,B148,2569,C131,2957,0,388800
A149,2798,B149,2569,C132,2957,0,388800
A150,2798,B150,2569,C133,2893,1,388800
A151,2798,B151,2569,C134,2893,1,388800
A152,2798,B152,2569,C359,2893,1,388800
A153,2798,B153,2569,C135,2893,1,388800
A154,2798,B154,2569,C334,2957,0,388800
A155,2798,B155,2569,C136,2957,0,388800
A156,2798,B156,2569,C137,2957,0,388800
A157,2798,B157,2569,C138,2957,0,388800
A158,2798,B158,2569,C139,2957,0,388800
A159,2798,B159,2569,C140,2957,0,388800
A160,2798,B160,2569,C141,2893,1,388800
A161,2798,B161,2569,C142,2893,1,388800
A162,2798,B162,2569,C143,2893,1,388800
A163,2798,B163,2569,C145,2893,1,388800
A164,2798,B164,2569,C362,2957,0,388800
A165,2798,B165,2569,C146,2957,0,388800
A166,2798,B166,2569,C147,2957,0,388800
A167,2798,B167,2569,C361,2957,0,388800
A168,2798,B168,2569,C148,2957,0,388800
A169,2798,B169,2569,C149,2957,0,388800
A170,2798,B170,2569,C150,2957,0,388800
A171,2798,B171,2569,C151,2957,0,388800
A172,2798,B172,2569,C152,2893,1,388800
A173,2798,B173,2569,C154,2893,1,388800
A174,2798,B174,2569,C366,2893,1,388800
A175,2798,B175,2569,C155,2957,0,388800
A176,2798,B176,2569,C254,2957,0,388800
A177,2798,B177,2569,C269,2957,0,388800
A178,2798,B179,2569,C356,2957,0,388800
A179,2798,B180,2569,C158,2957,0,388800
A180,2798,B178,2569,C144,2893,1,388800
A181,2798,B181,2569,C183,2957,0,993600
A182,2798,B182,2569,C249,2957,0,993600
A183,2798,B183,2569,C159,2957,0,993600
A184,2798,B184,2569,C178,2893,1,388800
A185,2798,B185,2569,C160,2893,1,388800
A186,2746,B186,2521,C161,2839,2,388800
A187,2746,B187,2521,C157,2839,2,388800
A188,2746,B188,2521,C162,2839,2,388800
A189,2746,B189,2521,C163,2839,2,388800
A190,2746,B190,2521,C164,2839,2,388800
A191,2746,B191,2521,C174,2839,2,388800
A192,2798,B192,2569,C165,2893,1,388800
A193,2798,B193,2569,C167,2893,1,388800
A194,2798,B194,2569,C168,2893,1,388800
A195,2798,B196,2569,C169,2893,1,388800
A196,2798,B195,2569,C156,2893,1,993600
A197,2746,B197,2521,C170,2839,2,388800
A198,2746,B198,2521,C171,2839,2,388800
A199,2746,B199,2521,C172,2839,2,388800
A200,2746,B200,2521,C173,2839,2,388800
A201,2746,B201,2521,C175,2839,2,388800
A202,2746,B202,2521,C177,2839,2,388800
A203,2798,B203,2569,C179,2893,1,388800
A204,2798,B204,2569,C180,2893,1,388800
A205,2798,B205,2569,C181,2893,1,388800
A206,2798,B206,2569,C187,2893,1,388800
A207,2746,B207,2521,C188,2839,2,388800
A208,2746,B208,2521,C216,2839,2,993600
A209,2746,B209,2521,C189,2839,2,993600
A210,2746,B210,2521,C190,2839,2,993600
A211,2746,B211,2521,C192,2839,2,993600
A212,2798,B212,2569,C193,2893,1,388800
A213,2798,B213,2569,C250,2893,1,388800
A214,2798,B214,2569,C194,2893,1,993600
A215,2798,B215,2569,C195,2893,1,993600
A216,2798,B216,2569,C196,2957,0,993600
A217,2798,B217,2569,C218,2957,0,993600
A218,2798,B218,2569,C197,2957,0,993600
A219,2798,B219,2569,C198,2957,0,993600
A220,2798,B220,2569,C199,2957,0,993600
A221,2798,B221,2569,C200,2957,0,993600
A222,2798,B222,2569,C201,2957,0,993600
A223,2798,B223,2569,C341,2893,1,993600
A224,2798,B224,2569,C202,2893,1,993600
A225,2798,B225,2569,C203,2893,1,993600
A226,2798,B226,2569,C205,2893,1,993600
A227,2798,B227,2569,C206,2957,0,993600
A228,2798,B229,2569,C207,2957,0,993600
A229,2798,B230,2569,C364,2957,0,993600
A230,2798,B228,2569,C191,2957,0,993600
A231,2798,B231,2569,C208,2957,0,993600
A232,2798,B233,2569,C209,2957,0,993600
A233,2798,B234,2569,C210,2957,0,993600
A234,2798,B235,2569,C211,2957,0,993600
A235,2798,B232,2569,C182,2957,0,993600
A236,2798,B236,2569,C212,2957,0,993600
A237,2798,B237,2569,C213,2893,1,993600
A238,2798,B238,2569,C214,2893,1,993600
A239,2798,B239,2569,C215,2893,1,993600
A240,2798,B240,2569,C219,2893,1,993600
A241,2798,B242,2569,C220,2957,0,993600
A242,2798,B243,2569,C223,2957,0,993600
A243,2798,B244,2569,C224,2957,0,993600
A244,2798,B241,2569,C185,2957,0,993600
A245,2798,B245,2569,C225,2957,0,993600
A246,2798,B246,2569,C226,2957,0,993600
A247,2798,B247,2569,C227,2957,0,993600
A248,2798,B248,2569,C228,2957,0,993600
A249,2798,B249,2569,C229,2957,0,993600
A250,2798,B250,2569,C353,2893,1,993600
A251,2798,B252,2569,C231,2893,1,993600
A252,2798,B253,2569,C232,2893,1,993600
A253,2798,B251,2569,C230,2893,1,993600
A254,2798,B254,2569,C233,2957,0,993600
A255,2798,B256,2569,C234,2957,0,993600
A256,2798,B255,2569,C222,2957,0,993600
A257,2798,B257,2569,C235,2957,0,993600
A258,2798,B258,2569,C276,2957,0,993600
A259,2798,B259,2569,C236,2957,0,993600
A260,2798,B260,2569,C238,2957,0,993600
A261,2798,B262,2569,C240,2957,0,993600
A262,2798,B261,2569,C204,2893,1,993600
A263,2798,B263,2569,C241,2893,1,993600
A264,2798,B264,2569,C242,2957,0,993600
A265,2798,B265,2569,C243,2957,0,993600
A266,2798,B266,2569,C244,2957,0,993600
A267,2798,B267,2569,C245,2957,0,993600
A268,2798,B268,2569,C246,2957,0,993600
A269,2798,B269,2569,C247,2957,0,993600
A270,2798,B270,2569,C248,2957,0,993600
A271,2798,B271,2569,C251,2957,0,993600
A272,2798,B273,2569,C252,2893,1,993600
A273,2798,B272,2569,C217,2957,0,993600
A274,2798,B274,2569,C253,2893,1,993600
A275,2798,B275,2569,C255,2893,1,993600
A276,2798,B276,2569,C256,2957,0,993600
A277,2798,B277,2569,C355,2957,0,993600
A278,2798,B278,2569,C257,2957,0,993600
A279,2798,B280,2569,C260,2957,0,993600
A280,2798,B279,2569,C237,2893,1,993600
A281,2798,B281,2569,C262,2957,0,993600
A282,2798,B282,2569,C263,2957,0,993600
A283,2798,B283,2569,C264,2957,0,993600
A284,2798,B284,2569,C265,2893,1,993600
A285,2798,B285,2569,C266,2893,1,993600
A286,2798,B286,2569,C267,2893,1,993600
A287,2798,B287,2569,C285,2893,1,993600
A288,2746,B288,2521,C268,2839,2,993600
A289,2746,B289,2521,C270,2839,2,993600
A290,2746,B290,2521,C272,2839,2,993600
A291,2746,B291,2521,C273,2839,2,993600
A292,2798,B292,2569,C274,2893,1,993600
A293,2798,B293,2569,C275,2893,1,993600
A294,2798,B294,2569,C277,2893,1,993600
A295,2798,B295,2569,C278,2893,1,993600
A296,2798,B296,2569,C280,2957,0,993600
A297,2798,B297,2569,C279,2957,0,993600
A298,2798,B299,2569,C281,2957,0,993600
A299,2798,B298,2569,C239,2893,1,993600
A300,2798,B300,2569,C360,2957,0,993600
A301,2798,B301,2569,C282,2957,0,993600
A302,2798,B302,2569,C283,2957,0,993600
A303,2798,B303,2569,C284,2957,0,993600
A304,2798,B304,2569,C286,2957,0,993600
A305,2798,B305,2569,C288,2893,1,993600
A306,2798,B306,2569,C289,2893,1,993600
A307,2798,B307,2569,C290,2893,1,993600
A308,2798,B308,2569,C291,2957,0,993600
A309,2798,B309,2569,C292,2957,0,993600
A310,2798,B310,2569,C293,2957,0,993600
A311,2798,B311,2569,C294,2957,0,993600
A312,2798,B312,2569,C295,2957,0,993600
A313,2798,B313,2569,C296,2957,0,993600
A314,2798,B314,2569,C297,2957,0,993600
A315,2798,B315,2569,C299,2957,0,993600
A316,2798,B316,2569,C300,2893,1,993600
A317,2798,B317,2569,C301,2893,1,993600
A318,2798,B318,2569,C302,2893,1,993600
A319,2798,B319,2569,C303,2893,1,993600
A320,2798,B320,2569,C304,2957,0,993600
A321,2798,B321,2569,C305,2957,0,993600
A322,2798,B322,2569,C306,2957,0,993600
A323,2798,B323,2569,C307,2957,0,993600
A324,2798,B324,2569,C308,2957,0,993600
A325,2798,B326,2569,C309,2957,0,993600
A326,2798,B327,2569,C310,2957,0,993600
A327,2798,B325,2569,C271,2957,0,993600
A328,2798,B328,2569,C311,2957,0,993600
A329,2798,B329,2569,C313,2893,1,993600
A330,2798,B330,2569,C314,2893,1,993600
A331,2798,B331,2569,C315,2893,1,993600
A332,2798,B332,2569,C354,2893,1,993600
A333,2798,B333,2569,C316,2957,0,993600
A334,2798,B334,2569,C317,2957,0,993600
A335,2798,B335,2569,C318,2957,0,993600
A336,2798,B336,2569,C319,2957,0,993600
A337,2798,B337,2569,C358,2957,0,993600
A338,2798,B338,2569,C321,2893,1,993600
A339,2798,B339,2569,C323,2893,1,993600
A340,2798,B340,2569,C324,2893,1,993600
A341,2798,B341,2569,C325,2893,1,993600
A342,2798,B342,2569,C326,2957,0,993600
A343,2798,B343,2569,C327,2957,0,993600
A344,2798,B344,2569,C328,2957,0,993600
A345,2798,B345,2569,C329,2957,0,993600
A346,2798,B346,2569,C330,2957,0,993600
A347,2798,B347,2569,C331,2957,0,993600
A348,2798,B348,2569,C332,2957,0,993600
A349,2798,B349,2569,C333,2893,1,993600
A350,2798,B350,2569,C335,2893,1,993600
A351,2798,B351,2569,C336,2893,1,993600
A352,2798,B352,2569,C337,2957,0,993600
A353,2798,B353,2569,C338,2957,0,993600
A354,2798,B354,2569,C339,2957,0,993600
A355,2798,B355,2569,C340,2957,0,993600
A356,2798,B356,2569,C342,2957,0,993600
A357,2798,B357,2569,C343,2893,1,993600
A358,2798,B358,2569,C344,2893,1,993600
A359,2798,B359,2569,C345,2893,1,993600
A360,2798,B360,2569,C346,2893,1,993600
A361,2798,B361,2569,C347,2957,0,993600
A362,2798,B362,2569,C348,2957,0,993600
A363,2798,B363,2569,C349,2957,0,993600
A364,2798,B364,2569,C350,2893,1,993600
A365,2798,B365,2569,C351,2893,1,993600
A366,700,B366,642,C357,723,1,993600
